	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
182	1	6	52572	694.0	196.0	250.0	3000	58190	56215	1975	412.0	412	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	55803	A	250.0	196.0	119	212.0	0	177.0
183	1	6	61122	122.0	201.0	184.0	3000	66732	65283	1449	530.0	530	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	64753	A	289.0	246.0	119	221.0	0	186.0
184	0	6	68665			408.0	3000	74786	72880	1400	785.0	785	[3, 2, 1, 4, 2]	[3, 2, 1, 4, 1, 4, 2, 3]	72095	random			119	419.0	0	316.0
185	1	6	76587	549.0	178.0	196.0	3000	81651	79983	1668	365.0	365	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	79618	A	236.0	188.0	119	184.0	0	137.0
186	1	6	83284	176.0	501.0	226.0	3000	88643	86756	1887	341.0	341	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	86415	B	310.0	268.0	119	217.0	0	189.0
187	1	6	91073	176.0	197.0	228.0	3000	96097	94595	1502	490.0	490	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	94105	A	302.0	239.0	119	199.0	0	161.0
188	1	6	97727	145.0	252.0	266.0	3000	102986	101301	1685	443.0	443	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	100858	A	351.0	274.0	119	218.0	0	179.0
189	1	6	104515	130.0	177.0	194.0	3000	109276	107887	1389	341.0	341	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	107546	A	311.0	252.0	119	161.0	0	164.0
190	1	6	110908	127.0	173.0	188.0	3000	116562	115198	1364	359.0	359	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	114839	A	262.0	245.0	119	207.0	0	162.0
191	1	6	118291	466.0	299.0	440.0	3000	123968	121771	2197	449.0	449	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	121322	A	285.0	219.0	119	292.0	0	196.0
192	0	6	125497		218.0	324.0	3000	131054	129091	1458	362.0	362	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	128729	A		183.0	119	202.0	0	135.0
193	1	6	132254	121.0	448.0	254.0	3000	137243	135632	1611	347.0	347	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	135285	A	248.0	238.0	119	164.0	0	138.0
194	1	6	138773	187.0	167.0	392.0	3000	144067	142353	1714	349.0	349	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	142004	A	283.0	265.0	119	274.0	0	146.0
195	1	6	145602	127.0	200.0	232.0	3000	150310	148978	1332	345.0	345	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	148633	A	248.0	205.0	119	164.0	0	156.0
196	1	6	151843	255.0	350.0	225.0	3000	157231	155298	1933	424.0	424	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	154874	B	282.0	240.0	119	317.0	0	264.0
197	0	6	158864		158.0	247.0	3000	164183	162288	1390	394.0	394	[4, 3, 1, 4, 2, 3, 1, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	161894	A	230.0	280.0	119	154.0	0	156.0
