,Unnamed: 0.1,accuracy,block,eight_IKI,five_IKI,four_IKI,max_time,move_offset,move_onset,movement_time,one_IKI,one_RT,pressed,rew_onset,reward,seq_keys,seq_start,sequence,seven_IKI,six_IKI,subject,three_IKI,too_slow,two_IKI
30,30,0,6,,,,2163,9808,8797,506,335.0,335,"[3, 2, 1]",4631,10,"[3, 2, 4, 1, 2, 4, 3, 1]",8462,B,,,105,,0,240.0
31,31,0,6,,,819.0,1770,17952,15996,1272,320.0,320,"[4, 3, 1, 4]",12145,30,"[4, 3, 1, 4, 2, 3, 1, 2]",15676,A,,,105,285.0,1,168.0
32,32,1,6,137.0,230.0,248.0,2163,27507,25978,1529,270.0,270,"[3, 2, 4, 1, 2, 4, 3, 1]",20877,5,"[3, 2, 4, 1, 2, 4, 3, 1]",25708,B,142.0,290.0,105,267.0,0,215.0
33,33,1,6,92.0,233.0,225.0,2163,35872,34462,1410,354.0,354,"[3, 2, 4, 1, 2, 4, 3, 1]",30576,30,"[3, 2, 4, 1, 2, 4, 3, 1]",34108,B,157.0,217.0,105,261.0,0,225.0
34,34,1,6,171.0,233.0,228.0,1770,45473,44060,1413,287.0,287,"[4, 3, 1, 4, 2, 3, 1, 2]",38942,10,"[4, 3, 1, 4, 2, 3, 1, 2]",43773,A,184.0,183.0,105,218.0,0,196.0
35,35,0,6,,297.0,232.0,1770,55642,53699,1312,330.0,330,"[4, 3, 1, 4, 2, 3, 1]",48838,30,"[4, 3, 1, 4, 2, 3, 1, 2]",53369,A,265.0,102.0,105,229.0,1,187.0
36,36,1,6,152.0,245.0,221.0,1770,64468,63093,1375,299.0,299,"[4, 3, 1, 4, 2, 3, 1, 2]",58363,5,"[4, 3, 1, 4, 2, 3, 1, 2]",62794,A,200.0,159.0,105,198.0,0,200.0
37,37,1,6,123.0,245.0,241.0,2163,73598,72217,1381,253.0,253,"[3, 2, 4, 1, 2, 4, 3, 1]",68033,30,"[3, 2, 4, 1, 2, 4, 3, 1]",71964,B,166.0,218.0,105,215.0,0,173.0
38,38,1,6,100.0,213.0,212.0,2163,82522,81162,1360,266.0,266,"[3, 2, 4, 1, 2, 4, 3, 1]",76566,10,"[3, 2, 4, 1, 2, 4, 3, 1]",80896,B,143.0,216.0,105,268.0,0,208.0
39,39,1,6,148.0,199.0,197.0,1770,91512,90196,1316,271.0,271,"[4, 3, 1, 4, 2, 3, 1, 2]",85894,30,"[4, 3, 1, 4, 2, 3, 1, 2]",89925,A,182.0,188.0,105,212.0,0,190.0
40,40,1,6,140.0,218.0,227.0,2163,102253,100812,1441,303.0,303,"[3, 2, 4, 1, 2, 4, 3, 1]",96778,30,"[3, 2, 4, 1, 2, 4, 3, 1]",100509,B,157.0,225.0,105,246.0,0,228.0
41,41,0,6,,230.0,213.0,1770,112029,110048,1382,292.0,292,"[4, 3, 1, 4, 2, 3, 1]",105124,30,"[4, 3, 1, 4, 2, 3, 1, 2]",109756,A,173.0,185.0,105,349.0,1,232.0
42,42,1,6,109.0,222.0,228.0,2163,119967,118570,1397,284.0,284,"[3, 2, 4, 1, 2, 4, 3, 1]",114755,10,"[3, 2, 4, 1, 2, 4, 3, 1]",118286,B,148.0,219.0,105,252.0,0,219.0
43,43,0,6,,190.0,204.0,1770,128844,126996,1255,428.0,428,"[4, 3, 1, 4, 2, 3, 1]",123037,10,"[4, 3, 1, 4, 2, 3, 1, 2]",126568,A,171.0,203.0,105,242.0,1,245.0
44,44,1,6,106.0,183.0,190.0,2163,137067,135756,1311,254.0,254,"[3, 2, 4, 1, 2, 4, 3, 1]",131771,30,"[3, 2, 4, 1, 2, 4, 3, 1]",135502,B,168.0,226.0,105,226.0,0,212.0
45,45,1,6,123.0,133.0,218.0,2163,145807,144531,1276,260.0,260,"[3, 2, 4, 1, 2, 4, 3, 1]",140439,5,"[3, 2, 4, 1, 2, 4, 3, 1]",144271,B,153.0,239.0,105,214.0,0,196.0
46,46,0,6,,195.0,181.0,1770,154988,153003,1133,290.0,290,"[4, 3, 1, 4, 2, 3, 1]",149181,10,"[4, 3, 1, 4, 2, 3, 1, 2]",152713,A,179.0,228.0,105,184.0,1,166.0
47,47,0,6,,244.0,197.0,1770,164519,162562,1155,316.0,316,"[4, 3, 1, 4, 2, 3, 1]",158715,5,"[4, 3, 1, 4, 2, 3, 1, 2]",162246,A,205.0,161.0,105,174.0,1,174.0
48,48,1,6,133.0,195.0,178.0,1770,173598,172345,1253,268.0,268,"[4, 3, 1, 4, 2, 3, 1, 2]",167846,5,"[4, 3, 1, 4, 2, 3, 1, 2]",172077,A,171.0,172.0,105,202.0,0,202.0
49,49,1,6,130.0,63.0,224.0,2163,183748,182378,1370,286.0,286,"[3, 2, 4, 1, 2, 4, 3, 1]",177160,5,"[3, 2, 4, 1, 2, 4, 3, 1]",182092,B,177.0,316.0,105,249.0,0,211.0
